dataset,task,feature_group,n_features,accuracy,f1_macro,f1_weighted,roc_auc,r2,mae,pearson_r
daisee,engagement_binary,gaze_headpose_only,5,0.9086322869955157,0.5446635067824769,0.9115988036994465,0.6140517795883361,,,
daisee,engagement_binary,emotion_only,7,0.9248878923766816,0.5151544652128764,0.9168930937978755,0.5326168524871355,,,
daisee,engagement_binary,all_features,12,0.9332959641255605,0.5545904483762072,0.9247779677226876,0.6398310195111493,,,
chalearn,extraversion_regression,gaze_headpose_only,5,,,,,-0.050075010437353296,0.12429044652128766,0.14487825487362044
chalearn,interview_classification,gaze_headpose_only,5,0.5566666666666666,0.55426962777604,,0.5660462423884851,,,
chalearn,extraversion_regression,emotion_only,7,,,,,0.1801612604161672,0.10964875389408102,0.43055145163095193
chalearn,interview_classification,emotion_only,7,0.5883333333333334,0.5876173913043479,,0.6461522191671026,,,
chalearn,extraversion_regression,all_features,12,,,,,0.24171232400753961,0.10379574247144344,0.49323377552186665
chalearn,interview_classification,all_features,12,0.6433333333333333,0.6431906095771642,,0.6953779875544077,,,
