task,model,split,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc,per_class_f1,confusion_matrix
engagement_4class,majority_class,validation,0.5689293212036389,0.14223233030090973,0.25,0.1813113291703836,0.4126133257257435,0.5,"{'0': 0.0, '1': 0.0, '2': 0.7252453166815344, '3': 0.0}","[[0, 0, 23, 0], [0, 0, 143, 0], [0, 0, 813, 0], [0, 0, 450, 0]]"
engagement_4class,majority_class,test,0.4943946188340807,0.12359865470852018,0.25,0.16541635408852212,0.3271238213140729,0.5,"{'0': 0.0, '1': 0.0, '2': 0.6616654163540885, '3': 0.0}","[[0, 0, 4, 0], [0, 0, 84, 0], [0, 0, 882, 0], [0, 0, 814, 0]]"
engagement_4class,logistic_regression,validation,0.3358992302309307,0.2809798112957928,0.2846671636828864,0.24970283744627642,0.35538507241894807,0.5249216321312002,"{'0': 0.01098901098901099, '1': 0.19624217118997914, '2': 0.3397212543554007, '3': 0.451858913250715}","[[1, 10, 6, 6], [31, 47, 28, 37], [83, 216, 195, 319], [44, 63, 106, 237]]"
engagement_4class,logistic_regression,test,0.35594170403587444,0.2626593903485174,0.38794696830411113,0.23106439824584551,0.3664926129501667,0.6375315825783936,"{'0': 0.01834862385321101, '1': 0.1377551020408163, '2': 0.24854045037531275, '3': 0.519613416714042}","[[2, 2, 0, 0], [24, 27, 13, 20], [99, 166, 149, 468], [89, 113, 155, 457]]"
engagement_4class,random_forest,validation,0.5227431770468859,0.24869227711171094,0.28229192291922917,0.26433950229432035,0.4921045677500269,0.5707623780364985,"{'0': 0.0, '1': 0.0, '2': 0.6264637002341921, '3': 0.43089430894308944}","[[0, 0, 17, 6], [0, 0, 105, 38], [0, 0, 535, 278], [0, 0, 238, 212]]"
engagement_4class,random_forest,test,0.48934977578475336,0.49417931949434263,0.2594710898282327,0.2559778706404735,0.4773320632268141,0.6393246216213455,"{'0': 0.0, '1': 0.023529411764705882, '2': 0.5187194791101465, '3': 0.48166259168704156}","[[0, 0, 3, 1], [0, 1, 60, 23], [0, 0, 478, 404], [0, 0, 420, 394]]"
engagement_4class,xgboost,validation,0.48705388383484954,0.29904467429293646,0.2812648053053957,0.27692802831115604,0.47476525440818074,0.5609162963676021,"{'0': 0.0, '1': 0.10810810810810811, '2': 0.5872129112352577, '3': 0.41239109390125844}","[[0, 0, 11, 12], [1, 10, 87, 45], [3, 24, 473, 313], [2, 8, 227, 213]]"
engagement_4class,xgboost,test,0.47757847533632286,0.2762865714343571,0.2653315421172564,0.2668036081091911,0.47169312183328305,0.6205567198484301,"{'0': 0.0, '1': 0.08196721311475409, '2': 0.4797653958944281, '3': 0.5054818234275822}","[[0, 1, 3, 0], [0, 5, 48, 31], [4, 19, 409, 450], [0, 13, 363, 438]]"
engagement_binary,majority_class,validation,0.8838348495451365,0.44191742477256823,0.5,0.46916790490341753,0.8293338892834378,0.5,"{'0': 0.0, '1': 0.9383358098068351}","[[0, 166], [0, 1263]]"
engagement_binary,majority_class,test,0.9506726457399103,0.47533632286995514,0.5,0.48735632183908045,0.9266326478016597,0.5,"{'0': 0.0, '1': 0.9747126436781609}","[[0, 88], [0, 1696]]"
engagement_binary,logistic_regression,validation,0.6396081175647306,0.5384807258153161,0.5868271184500472,0.506573014535256,0.7032569876125251,0.6219605261902719,"{'0': 0.25036390101892286, '1': 0.7627821280515892}","[[86, 80], [435, 828]]"
engagement_binary,logistic_regression,test,0.7102017937219731,0.5422086223229817,0.6913593481989708,0.5047783704841191,0.7922638923000194,0.7240432032590052,"{'0': 0.1858267716535433, '1': 0.8237299693146949}","[[59, 29], [488, 1208]]"
engagement_binary,random_forest,validation,0.8838348495451365,0.44191742477256823,0.5,0.46916790490341753,0.8293338892834378,0.5870441385494473,"{'0': 0.0, '1': 0.9383358098068351}","[[0, 166], [0, 1263]]"
engagement_binary,random_forest,test,0.9506726457399103,0.47533632286995514,0.5,0.48735632183908045,0.9266326478016597,0.7165992174099485,"{'0': 0.0, '1': 0.9747126436781609}","[[0, 88], [0, 1696]]"
engagement_binary,xgboost,validation,0.8649405178446467,0.5499430366105243,0.5154728176363411,0.5104644248604417,0.8302508344029358,0.5772806189127054,"{'0': 0.09389671361502347, '1': 0.9270321361058601}","[[10, 156], [37, 1226]]"
engagement_binary,xgboost,test,0.9332959641255605,0.575534887930937,0.5447309176672384,0.5545904483762072,0.9247779677226876,0.6398310195111493,"{'0': 0.14388489208633093, '1': 0.9652960046660835}","[[10, 78], [41, 1655]]"
