model,split,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc
majority_class,validation,0.52,0.26,0.5,0.34210526315789475,0.35578947368421054,0.5
majority_class,test,0.47833333333333333,0.23916666666666667,0.5,0.32356257046223225,0.3095415257422022,0.5
logistic_regression,validation,0.6116666666666667,0.6120311197554876,0.6121794871794872,0.6116138029898515,0.6117950498817895,0.6656316773504274
logistic_regression,test,0.6183333333333333,0.617687136627907,0.6153721989068361,0.6148574215629388,0.6164429251775048,0.6496309737173136
random_forest,validation,0.61,0.6099627945431997,0.6065705128205128,0.6052232007288187,0.6069602186456119,0.6585982015669514
random_forest,test,0.6433333333333333,0.6461538461538462,0.6454119401988178,0.6431906095771642,0.642881374772131,0.6953779875544077
xgboost,validation,0.56,0.5586441893830703,0.5582264957264957,0.5580357142857143,0.5592142857142858,0.6026753917378918
xgboost,test,0.6216666666666667,0.6264397669271422,0.6246451670358785,0.6210086956521739,0.6203244057971015,0.6752012111631842
